subset,metric,n_tasks,n_tn_pairs,n_nn_pairs,raw_c2_c1_difference,nn_signed_difference,nn_adjusted_difference,ci_low,ci_high,p,q,loto_min,loto_max,coverage_tn,coverage_nn,interpretation
BOTH_SUCCESS,verification_calls,11,112,229,0.020385674931129475,-0.008733624454148471,0.051318378591105863,0.0,0.13608815426997245,0.24437556244375563,0.48875112488751127,0.010995670995670996,0.05645021645021645,112,229,count/exposure metric
BOTH_SUCCESS,confirmation_calls,11,112,229,0.6374458874458875,0.004366812227074236,0.6806012169648533,0.31210164835164833,1.1116217873036054,0.0136986301369863,0.17598240175982402,0.5259340659340659,0.7486613386613387,112,229,count/exposure metric
BOTH_SUCCESS,write_calls,11,112,229,0.026446280991735537,0.013100436681222707,0.019992129083038178,-0.0007870916961826038,0.04864226682408502,0.507949205079492,0.715128487151285,0.00865800865800866,0.022424242424242426,112,229,count/exposure metric
BOTH_SUCCESS,executed_writes,11,112,229,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,112,229,count/exposure metric
BOTH_SUCCESS,distinct_entities,11,112,229,0.17548663457754368,-0.08296943231441048,0.22841855114582385,-0.05966261011715553,0.5197958859322495,0.16618338166183383,0.4431556844315569,0.1445937395937396,0.3155461205461206,112,229,count/exposure metric
BOTH_SUCCESS,pre_confirmation_actions,11,112,229,-0.522910422910423,-0.23580786026200873,-0.3611615657070203,-0.9092600202827475,0.11875075681893851,0.22927707229277072,0.48875112488751127,-0.46727772227772224,-0.17942057942057943,112,229,count/exposure metric
BOTH_SUCCESS,post_completion_calls,11,112,229,0.006060606060606061,0.004366812227074236,0.0017316017316017318,-0.012987012987012986,0.018181818181818184,1.0,1.0,-0.0047619047619047615,0.006666666666666666,112,229,count/exposure metric
BOTH_SUCCESS,retry_calls,11,112,229,0.1063330608785154,0.008733624454148471,0.11050351163987525,-0.04518806950625134,0.29758688281415546,0.3134686531346865,0.5015498450154985,0.03670537795537795,0.1484769397269397,112,229,count/exposure metric
SAME_REWARD,duplicate_calls,36,482,994,0.03897213897213898,-0.056338028169014086,0.093762025012025,-0.09744419931919933,0.2912744431494432,0.36966303369663034,0.5914608539146086,0.043379715522572665,0.1459647495361781,482,994,count/exposure metric
SAME_REWARD,verification_calls,36,482,994,-0.004395604395604397,-0.015090543259557344,0.010739723239723243,-0.1612953423890924,0.17075803825803823,0.9046095390460954,0.9649168416491685,-0.0327629513343799,0.06247514390371533,482,994,count/exposure metric
SAME_REWARD,confirmation_calls,36,482,994,0.6712699337699337,0.02012072434607646,0.6523143523143523,0.3391366041366042,0.9754200197950196,0.00039996000399960006,0.006399360063993601,0.5833328576185719,0.6963836163836163,482,994,count/exposure metric
SAME_REWARD,write_calls,36,482,994,0.16274928774928774,0.0,0.16246600621600618,-0.04527249370999372,0.3958740218115217,0.1608839116088391,0.36773465510591796,0.09897602397602395,0.19377455877455876,482,994,count/exposure metric
SAME_REWARD,executed_writes,36,482,994,0.11035307285307286,0.015090543259557344,0.09424001924001923,-0.06126810689310688,0.2644282106782107,0.26617338266173385,0.4731971247319713,0.05015080157937302,0.12359925788497214,482,994,count/exposure metric
SAME_REWARD,distinct_entities,36,482,994,0.3237133237133237,-0.079476861167002,0.40392732267732273,0.046580716736966774,0.7672848736911239,0.038396160383961604,0.20477952204779523,0.3316585795157225,0.47099923885638173,482,994,count/exposure metric
SAME_REWARD,pre_confirmation_actions,36,482,994,-0.09329351204351209,-0.1720321931589537,0.06413817663817659,-0.5066090564528065,0.6264273111148108,0.8256174382561744,0.9649168416491685,-0.05212454212454215,0.17835164835164832,482,994,count/exposure metric
SAME_REWARD,post_completion_calls,36,482,994,0.001851851851851852,0.001006036217303823,0.0006944444444444445,-0.003472222222222222,0.005555555555555556,1.0,1.0,-0.0011904761904761904,0.0019047619047619048,482,994,count/exposure metric
SAME_REWARD,retry_calls,36,482,994,0.15744486994486995,-0.029175050301810865,0.18968392718392715,-0.11928958772708774,0.4927244283494283,0.2435756424357564,0.4731971247319713,0.1301684030255459,0.2484368012939441,482,994,count/exposure metric
