task_cluster,domain,task_id,task_family,n_tn_rows,n_nn_pairs,reward_difference,tool_argument_distance_tn,tool_argument_distance_nn,tool_argument_distance_effect,tool_name_distance_tn,tool_name_distance_nn,tool_name_distance_effect,stage_distance_tn,stage_distance_nn,stage_distance_effect,leave_one_task_out_effect,influence_delta,cook_like_influence,process_direction
airline:7,airline,7,compound,75,30,0.0,0.5107872622733304,0.4338441692466459,0.07694309302668445,0.45940881615804224,0.41780406899601935,0.04160474716202289,0.4498364538797975,0.4274239520369551,0.02241250184284238,0.08688363516827678,-0.0012577468890626192,0.1554433140279192,positive
airline:8,airline,8,single,70,26,0.0,0.47547709478302463,0.14547952047952048,0.3299975743035042,0.4504332407634294,0.136030636030636,0.31440260473279336,0.45160767280039515,0.13253413253413251,0.31907354026626267,0.07908941066625476,0.006536477612959404,4.198296427020571,positive
retail:10,retail,10,read,75,30,0.06666666666666665,0.25266666666666665,0.22761904761904764,0.025047619047619013,0.06603174603174604,0.03809523809523809,0.027936507936507947,0.1130952380952381,0.08571428571428569,0.02738095238095241,0.08727415628900578,-0.0016482680097916202,0.26695693208399557,positive
retail:12,retail,12,read,75,30,0.0,0.2254603174603174,0.14333333333333337,0.08212698412698402,0.06907936507936509,0.05999999999999999,0.009079365079365097,0.07987301587301587,0.07111111111111111,0.008761904761904762,0.08781293179920986,-0.002187043519995699,0.47000274400828024,positive
retail:2,retail,2,single,75,30,0.06666666666666667,0.36907407407407405,0.3532407407407407,0.015833333333333366,0.3575185185185185,0.3499074074074074,0.007611111111111124,0.29090909090909095,0.2711111111111111,0.01979797979797987,0.08785488191258853,-0.0022289936333743654,0.48820609741327936,positive
retail:20,retail,20,single,60,30,0.0,0.3931657925407926,0.3892307692307692,0.003935023310023378,0.28083527583527584,0.3281565656565657,-0.04732128982128986,0.25031128593628593,0.32308080808080814,-0.0727695221445222,0.0894243790820857,-0.0037984908028715347,1.417776265081233,negative
retail:21,retail,21,single,75,30,0.13333333333333333,0.5198855218855218,0.47314754689754684,0.046737974987974995,0.4395286195286195,0.4103950216450217,0.029133597883597817,0.3817138047138047,0.3489640452140452,0.0327497594997595,0.08723995371908892,-0.0016140654398747595,0.2559928410799217,positive
retail:23,retail,23,compound,75,30,-0.13333333333333336,0.4697184667184666,0.32842592592592595,0.14129254079254067,0.31076638176638177,0.25181623931623937,0.058950142450142407,0.3632968142968143,0.19937321937321936,0.16392359492359496,0.08638805244575906,-0.0007621641665448986,0.05707982013629053,positive
retail:25,retail,25,read,75,30,0.06666666666666665,0.27219047619047615,0.3233333333333333,-0.05114285714285716,0.23627513227513225,0.2722222222222222,-0.03594708994708995,0.2392169312169312,0.26999999999999996,-0.030783068783068773,0.08909940194282284,-0.0034735136636086794,1.1855600771213248,negative
retail:26,retail,26,single,75,30,0.06666666666666667,0.4042222222222222,0.22000000000000003,0.18422222222222218,0.37711111111111106,0.22000000000000003,0.15711111111111103,0.36244444444444446,0.22000000000000003,0.14244444444444443,0.08358345334115996,0.0020424349380541995,0.4099038571908514,positive
retail:3,retail,3,single,75,30,0.06666666666666667,0.40070707070707073,0.14555555555555558,0.25515151515151513,0.37737373737373736,0.11888888888888886,0.2584848484848485,0.33737373737373744,0.13222222222222219,0.20515151515151525,0.08068706084476748,0.00493882743444668,2.3968080078021203,positive
retail:30,retail,30,compound,75,30,0.0,0.38015873015873014,0.303068783068783,0.07708994708994715,0.34002597402597406,0.2686243386243386,0.07140163540163547,0.2968590668590669,0.2723280423280423,0.02453102453102457,0.08603229550428784,-0.00040640722507367943,0.01622962120252933,positive
retail:31,retail,31,compound,75,30,0.0,0.33597631997631994,0.3337554112554113,0.002220908720908632,0.30091016391016384,0.27150432900432897,0.02940583490583487,0.32039978539978536,0.2987662337662338,0.021633551633551573,0.08723217551845357,-0.001606287239239404,0.2535315208517766,positive
retail:32,retail,32,compound,75,30,-0.06666666666666667,0.48902236652236647,0.2715584415584416,0.21746392496392486,0.4642243867243867,0.2527705627705628,0.2114538239538239,0.4635086580086579,0.2530735930735931,0.2104350649350648,0.08203080440279674,0.0035950838764174237,1.2699996397902493,positive
retail:49,retail,49,single,75,30,-0.06666666666666667,0.26986099086099086,0.2713888888888889,-0.0015278980278980447,0.22984848484848486,0.22511904761904764,0.004729437229437222,0.20207503607503607,0.2032936507936508,-0.00121861471861473,0.08793721545206494,-0.0023113271728507773,0.5249384605442611,positive
retail:54,retail,54,compound,75,30,0.0,0.22442019092019094,0.19630480630480626,0.02811538461538468,0.17897086247086247,0.15140484515484512,0.02756601731601735,0.17845709845709848,0.14756549006549008,0.0308916083916084,0.0872847417353055,-0.0016588534560913332,0.2703968245210079,positive
retail:55,retail,55,compound,75,30,0.0,0.2603787323787324,0.3317210567210568,-0.0713423243423244,0.2263538683538683,0.2996697746697746,-0.07331590631590632,0.2516530136530136,0.30479797979797973,-0.05314496614496611,0.09016708241050334,-0.004541194131289172,2.0264023434871508,negative
retail:62,retail,62,read,75,30,0.4666666666666667,0.5915454545454545,0.3437878787878788,0.24775757575757568,0.5619076479076479,0.20212121212121215,0.35978643578643577,0.5346450216450216,0.18964646464646462,0.34499855699855697,0.07779272977900784,0.007833158500206328,6.029195577501041,positive
retail:67,retail,67,read,75,30,0.2,0.2612380952380952,0.21555555555555558,0.04568253968253963,0.20457142857142854,0.15111111111111114,0.0534603174603174,0.20457142857142854,0.15111111111111114,0.0534603174603174,0.08654490458832549,-0.0009190163091113285,0.08299118777741593,positive
retail:68,retail,68,read,75,30,0.0,0.1196190476190476,0.07365079365079365,0.04596825396825395,0.06571428571428571,0.07365079365079365,-0.007936507936507936,0.06571428571428571,0.07365079365079365,-0.007936507936507936,0.08829909959966337,-0.0026732113204492036,0.7021859353176442,negative
