spec_id,representation,distance,normalization,call_filtering,pairing,aggregation,estimator,data_inclusion,outcome_restriction,effect,ci_low,ci_high,p,q,direction,n_tasks,main_observation_retained,family
S0043,tool_name,lcs_distance,max,exclude_reorder_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.10773238228677422,0.06565744558139658,0.15108070939784873,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0044,tool_name,lcs_distance,max,effective_calls_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.11341039686926016,0.06948741461400841,0.15885113156197045,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0045,tool_name,lcs_distance,mean,all_calls,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.13928521570326294,0.0780720257697757,0.20624930297455443,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0046,tool_name,lcs_distance,mean,remove_exact_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.13924982283983248,0.07656123093464413,0.20703703729896863,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0047,tool_name,lcs_distance,mean,collapse_consecutive_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.14124433000274858,0.08086889471976597,0.2110704577035496,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0048,tool_name,lcs_distance,mean,exclude_reorder_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.1395019266453005,0.07742032376244819,0.20459693271138035,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0049,tool_name,lcs_distance,mean,effective_calls_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.15414981563138141,0.08617364314212009,0.2301851638364495,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0050,tool_name,lcs_distance,reference,all_calls,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.2576309246237998,0.12584009583793943,0.42299371221764503,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0051,tool_name,lcs_distance,reference,remove_exact_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.25317042728707695,0.12722913844075426,0.42293044589462897,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0052,tool_name,lcs_distance,reference,collapse_consecutive_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.25835313629617485,0.1235733826217038,0.41781537701284377,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0053,tool_name,lcs_distance,reference,exclude_reorder_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.2578026307009675,0.12525675886364993,0.4301125265888688,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0054,tool_name,lcs_distance,reference,effective_calls_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.32579680662697985,0.1734248822079872,0.5119486788047466,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0055,tool_name,lcs_distance,none,all_calls,ALL_VALID_PAIRS,task,mean,all_valid,ALL,1.0343827160493824,0.5262870370370369,1.5387546296296293,0.001110494169905608,0.0011933668691522954,positive,36,True,tool_name|all_valid
S0056,tool_name,lcs_distance,none,remove_exact_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.9911419753086417,0.5734675925925925,1.4266365740740736,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0057,tool_name,lcs_distance,none,collapse_consecutive_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,1.0714197530864196,0.5982700617283951,1.5632484567901233,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0058,tool_name,lcs_distance,none,exclude_reorder_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,1.036825571100933,0.5380801613733377,1.5582999827321984,0.001110494169905608,0.0011933668691522954,positive,36,True,tool_name|all_valid
S0059,tool_name,lcs_distance,none,effective_calls_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.8801234567901234,0.5112932098765431,1.2878827160493826,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0060,tool_name,jaccard,max,all_calls,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.07926355820105818,0.048274390064667834,0.11287163433274544,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0061,tool_name,jaccard,max,remove_exact_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.07926355820105818,0.04773772505144031,0.11367451131687242,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0062,tool_name,jaccard,max,collapse_consecutive_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.07926355820105818,0.049031712044385646,0.11158051513815401,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0063,tool_name,jaccard,max,exclude_reorder_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.0791556060034824,0.047645570440501744,0.11120639068392689,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0064,tool_name,jaccard,max,effective_calls_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.08698758083480305,0.052375865299823625,0.12506016130217515,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0065,tool_name,jaccard,mean,all_calls,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.07926355820105818,0.04880260141093473,0.11340411063345089,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0066,tool_name,jaccard,mean,remove_exact_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.07926355820105818,0.04869402741034685,0.1143932732583774,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0067,tool_name,jaccard,mean,collapse_consecutive_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.07926355820105818,0.04695548023221633,0.1135373759920635,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0068,tool_name,jaccard,mean,exclude_reorder_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.0791556060034824,0.048155523995950224,0.11426415351237332,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0069,tool_name,jaccard,mean,effective_calls_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.08698758083480305,0.054003152557319224,0.12380222663139322,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0070,tool_name,jaccard,reference,all_calls,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.07926355820105818,0.04782255107289828,0.11244405496766605,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0071,tool_name,jaccard,reference,remove_exact_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.07926355820105818,0.04970086713697824,0.1132355241402116,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0072,tool_name,jaccard,reference,collapse_consecutive_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.07926355820105818,0.0466712733318636,0.11287457194297466,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0073,tool_name,jaccard,reference,exclude_reorder_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.0791556060034824,0.0483573926720477,0.10960769276302436,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0074,tool_name,jaccard,reference,effective_calls_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.08698758083480305,0.052183950617283946,0.12070587154614927,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0075,tool_name,jaccard,none,all_calls,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.07926355820105818,0.04834135251322751,0.11314785604056435,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0076,tool_name,jaccard,none,remove_exact_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.07926355820105818,0.046913098912404465,0.11250300650352733,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0077,tool_name,jaccard,none,collapse_consecutive_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.07926355820105818,0.048290807796884175,0.11295454052763079,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0078,tool_name,jaccard,none,exclude_reorder_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.0791556060034824,0.04905913802702374,0.1123684157038185,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0079,tool_name,jaccard,none,effective_calls_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.08698758083480305,0.04902703373015873,0.125027237654321,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0080,tool_name,weighted_edit,max,all_calls,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.10754729612336007,0.06589596780194829,0.1537924069617208,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0081,tool_name,weighted_edit,max,remove_exact_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.10963212979663457,0.06843582241085376,0.15676094168545066,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0082,tool_name,weighted_edit,max,collapse_consecutive_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.11034265490401297,0.06874826825254625,0.15558964116892351,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0083,tool_name,weighted_edit,max,exclude_reorder_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.10773238228677422,0.06603875716920087,0.15361179865375976,0.001110494169905608,0.0011933668691522954,positive,36,True,tool_name|all_valid
