source_path,source_bytes,source_sha256,archive_path,archive_bytes,archive_sha256
"logs/r8_attack/extract_test.log",1214,0b60af9d2b3ecc91d3509d95afebfe24c15db236c7822d8a30dbe4c823b4892c,"logs_archive/r8_attack/extract_test.log.gz",536,e03819ad94f71eb43f8560cc84730a352108e184cfb326a7306001c2ba682ad4
"logs/r8_attack/f3_relabel.log",530,c7f47642853e43dd55973023ee85876b2493d939ad9b5ca5962025b329dfc53c,"logs_archive/r8_attack/f3_relabel.log.gz",249,6a9bc8d05f82f2f7ede97c6dc1a860187185122ccbb42fa147a180077c186860
"logs/r8_attack/freeze_policy.log",1668,8545ff0e2b94913dcc7b04400b28fdcbdb3fdc7ece488a39c9a784665e10ee8b,"logs_archive/r8_attack/freeze_policy.log.gz",730,319a172397d2a81a0f3596e422e1f1aaee04b26dc0be8ca0bb9a4c6a99f2744a
"logs/r8_attack/integrity_dev.log",1466,2a1de74d36e1305736710b2ad1ff63a3e8ebc6326473397d010b763fa5220df2,"logs_archive/r8_attack/integrity_dev.log.gz",649,8dccf83c8161ce3d65683bee9cc17c6ddda372fd76fdd123dfd447706a39c777
"logs/r8_attack/integrity_test.log",1471,0fcc4edbf284ebf07cf741676ee65ef5271cf01f68f0caac84c8414abac7162b,"logs_archive/r8_attack/integrity_test.log.gz",656,b4e18a34560fbfbe37906f5331518b4687c1a6f2831149ef977c248acf859b96
"logs/r8_attack/orchestrator.log",16605,1621fa60d97d588e997ae5d5d9dbabe828cbe546785d59d098d98a0b64955d74,"logs_archive/r8_attack/orchestrator.log.gz",2403,ca3cbe20fdf2d654f50cbfac8c4b186cb7c9cac67621ff0fb40564b7c350b612
"logs/r8_attack/post_review.log",69,43e21b828ba604ab9826df8cc354bb08af160b83ae819148572f4cec212dbcf8,"logs_archive/r8_attack/post_review.log.gz",82,6f2c6b0b96fd243df6e6ce50239f6f8571db52d7a2b9bf9ddb127c1e761799e4
"logs/r8_attack/post_review2.log",71,cbd97bf1b66f099c7e9ecb03e68557d38b30fa2851a22a734428b94b5a41ec79,"logs_archive/r8_attack/post_review2.log.gz",86,b08022e2943b7287e0f631278d66c60fff847981a8a05d02784f09705c183c87
"logs/r8_attack/pre_review.log",154,6181c462865778ff4b8ed09e66f71fbefe9d8aa13cc87550a982a4b0039c7442,"logs_archive/r8_attack/pre_review.log.gz",136,49ea18642c88a1880adfa81925ef1b43d3c65ad378c00f1f03307431da4188dc
"logs/r8_attack/pre_review2.log",173,6790a09a1e00e7a610c362dc4af355033cb40ffad1ec843cf93b432db5ae57ad,"logs_archive/r8_attack/pre_review2.log.gz",151,b801a5333b9388f994a56f1bf15b72bea77a1c58afdb873f84b4ea8d0795563f
"logs/r8_attack/retry.log",0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"logs_archive/r8_attack/retry.log.gz",20,f61f27bd17de546264aa58f40f3aafaac7021e0ef69c17f6b1b4cd7664a037ec
"logs/r8_attack/reviews2.log",0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"logs_archive/r8_attack/reviews2.log.gz",20,f61f27bd17de546264aa58f40f3aafaac7021e0ef69c17f6b1b4cd7664a037ec
"logs/r8_attack/safety_audit_postrun.log",1533,93c8446bef0573939c5bfaf639c17c8d093e440cb2d63b76ed76e1b03296c1ee,"logs_archive/r8_attack/safety_audit_postrun.log.gz",700,fd834502d907720683325fc9449983ec30997933ca57b3bf3579e17a1b01716b
"logs/r8_attack/test_gemma4_31b.log",25147879,af8a928c26b1fab486420b5bf88f508073406e4e89861482a60f6a9f5341c6c0,"logs_archive/r8_attack/test_gemma4_31b.log.gz",2180687,3272fe1acdd61163ff7b10d4146462272c0ea350777fa3a002936d1850be6921
"logs/r8_attack/test_gpt_oss_120b.log",22454836,f887d4b6dbb24b03af507b8b9333ec0243a99306ffcd462d5a7de600bd258abb,"logs_archive/r8_attack/test_gpt_oss_120b.log.gz",2080762,e154f4c655afaff8678bb86a0c4a2f11e1c25ae210506ae8e681b6d9d75cdd4d
"logs/r8_attack/test_mistral_small_3p2.log",23228466,a6e1feb583055c077f6b88b681510c6021b8c59fbc9d932d403ef4194b13fffc,"logs_archive/r8_attack/test_mistral_small_3p2.log.gz",1987351,d3dc88474a1367ad949705f2afbe225430e494d45c7499044cc00515c4017c86
"logs/r8_attack/test_retry_gemma4_31b.log",5143,d5f010a915ead356eb0d1b883bb9a5eaf0977b41beee175520404302c4416035,"logs_archive/r8_attack/test_retry_gemma4_31b.log.gz",1003,23282043fd72c8f00d6a9a2341ae2ad9c57b6f69c250683c5908e72347c5b562
"logs/r8_attack/test_retry_gpt_oss_120b.log",86562,5754e3de448a022b26e9d5283f2d696e6a675ffac9056557bfd98a02f54dfb44,"logs_archive/r8_attack/test_retry_gpt_oss_120b.log.gz",11092,384be33b37e6c7b401a2e6cf98a70b537a2ef9f8608fd59dd75b496ff1bbba33
